date,DIST_ID,DISTRICT,ZONE,REG_CODE,ZONE_CODE,OCHA_PCODE,HLCIT_CODE,Total Household,Total Population,Deaths,Injured,GovtBuild_Damage,GovtBuild_PartDamage,PublicBuild_Damage,PublicBuild_PartDamage,Displaced_Females,Displaced_Males
03/06/15,42,Mustang,Dhawalagiri,524 3,3/8/0524,W-DHA-42,524 3 08 45,3354,13452,0,1,2,19,56,616,,
03/06/15,47,Palpa,Lumbini,524 3,3/9/0524,W-LUM-47,524 3 09 46,128793,643508,1,16,2,24,1434,2665,,
03/06/15,48,Nawalparasi,Lumbini,524 3,3/9/0524,W-LUM-48,524 3 09 47,128793,643508,1,41,0,14,355,2750,,
03/06/15,49,Rupandehi,Lumbini,524 3,3/9/0524,W-LUM-49,524 3 09 48,163916,880196,0,39,1,17,1,79,,
03/06/15,50,Kapilbastu,Lumbini,524 3,3/9/0524,W-LUM-50,524 3 09 49,91321,571936,0,6,0,23,0,66,,
03/06/15,51,Arghakhanchi,Lumbini,524 3,3/9/0524,W-LUM-51,524 3 09 50,46835,197632,0,0,0,8,189,352,,
03/06/15,46,Gulmi,Lumbini,524 3,3/9/0524,W-LUM-46,524 3 09 51,64921,280160,1,11,73,256,1780,3754,,
03/06/15,54,Rukum,Rapti,524 4,4/10/0524,M-RAP-54,524 4 10 52,19303,108921,1,1,10,16,61,120,,
03/06/15,55,Salyan,Rapti,524 4,4/10/0524,M-RAP-55,524 4 10 53,47730,228102,0,2,3,16,18,147,,
03/06/15,53,Rolpa,Rapti,524 4,4/10/0524,M-RAP-53,524 4 10 54,23013,136948,1,2,0,6,47,128,,
03/06/15,52,Pyuthan,Rapti,524 4,4/10/0524,M-RAP-52,524 4 10 55,7488,36700,0,9,0,0,3,66,,
03/06/15,56,Dang,Rapti,524 4,4/10/0524,M-RAP-56,524 4 10 56,9619,55286,0,10,1,28,7,1080,,
03/06/15,57,Banke,Bheri,524 4,4/11/0524,M-BHE-57,524 4 11 57,94773,491313,0,1,0,0,0,81,,
03/06/15,58,Bardiya,Bheri,524 4,4/11/0524,M-BHE-58,524 4 11 58,73176,426576,0,2,0,0,0,40,,
03/06/15,59,Surkhet,Bheri,524 4,4/11/0524,M-BHE-59,524 4 11 59,72863,350804,0,3,0,11,1,31,,
03/06/15,61,Jajarkot,Bheri,524 4,4/11/0524,M-BHE-61,524 4 11 60,30472,171304,0,3,0,8,0,1877,,
03/06/15,60,Dailekh,Bheri,524 4,4/11/0524,M-BHE-60,524 4 11 61,48919,261770,0,1,0,19,1,216,,
03/06/15,62,Dolpa,Karnali,524 4,4/12/0524,M-KAR-62,524 4 12 62,41856,208567,0,0,0,0,1,5,,
03/06/15,63,Jumla,Karnali,524 4,4/12/0524,M-KAR-63,524 4 12 63,9479,50858,0,2,0,0,0,2,,
03/06/15,64,Kalikot,Karnali,524 4,4/12/0524,M-KAR-64,524 4 12 64,116415,552583,0,0,3,17,4,15,,
03/06/15,65,Mugu,Karnali,524 4,4/12/0524,M-KAR-65,524 4 12 65,43757,224506,0,0,0,0,0,0,,
03/06/15,66,Humla,Karnali,524 4,4/12/0524,M-KAR-66,524 4 12 66,46558,242444,0,0,0,0,0,0,"",
03/06/15,68,Bajhang,Seti,524 5,5/13/0524,F-SET-68,524 5 13 67,33786,195159,0,0,0,0,0,0,,
03/06/15,67,Bajura,Seti,524 5,5/13/0524,F-SET-67,524 5 13 68,24908,134912,0,0,0,0,0,1,,
03/06/15,69,Achham,Seti,524 5,5/13/0524,F-SET-69,524 5 13 69,48351,257477,0,0,0,0,0,0,,
03/06/15,70,Doti,Seti,524 5,5/13/0524,F-SET-70,524 5 13 70,41440,211746,0,0,0,1,0,0,,
03/06/15,71,Kailali,Seti,524 5,5/13/0524,F-SET-71,524 5 13 71,142480,775709,0,1,0,5,0,4,,
03/06/15,72,Kanchanpur,Mahakali,524 5,5/14/0524,F-MAH-72,524 5 14 72,82152,451248,0,1,0,1,0,0,,
03/06/15,73,Dadeldhura,Mahakali,524 5,5/14/0524,F-MAH-73,524 5 14 73,27045,142094,0,0,0,0,0,1,,
03/06/15,74,Baitadi,Mahakali,524 5,5/14/0524,F-MAH-74,524 5 14 74,45191,250898,0,0,0,0,0,0,,
03/06/15,75,Darchula,Mahakali,524 5,5/14/0524,F-MAH-75,524 5 14 75,24618,133274,0,0,0,0,0,0,,
,,,,,,,,,,,273,,,,,,
